param_a param_b Ex m m_err c c_err chi2_0_ndf
ArrayDistance_-119 Mfield_2.045 0 0.0215789 0.0135216 23.4471 5.75536 19.4656
ArrayDistance_-119 Mfield_2.045 1016.93 -0.0628915 0.0141892 -7.52579 4.83882 21.88
ArrayDistance_-119 Mfield_2.045 2315.1 -8.74172 0.0301851 -3175 9.61586 30573.6
ArrayDistance_-120 Mfield_2.055 0 0.104214 0.0132334 21.5311 5.67497 36.8354
ArrayDistance_-120 Mfield_2.055 1016.93 0.0109157 0.0140564 -12.0618 4.81834 26.0572
ArrayDistance_-120 Mfield_2.055 2315.1 0.0318258 0.0407448 -17.0317 13.7817 23.9921
ArrayDistance_-118 Mfield_2.055 0 0.0756179 0.0133833 33.1768 5.69305 12.4574
ArrayDistance_-118 Mfield_2.055 1016.93 -0.0070251 0.0142176 4.64037 4.85669 12.4029
ArrayDistance_-118 Mfield_2.055 2315.1 -0.0208883 0.0451745 -11.3702 15.2376 6.30562
ArrayDistance_-121 Mfield_2.055 0 0.0974083 0.0135183 6.07379 5.73425 63.3668
ArrayDistance_-121 Mfield_2.055 1016.93 -0.000348398 0.0148188 -27.4078 5.07319 55.8467
ArrayDistance_-121 Mfield_2.055 2315.1 0.0533685 0.0415573 -22.3037 14.1997 43.1016
ArrayDistance_-119 Mfield_2.055 0 0.091019 0.0135612 27.3141 5.82832 18.6311
ArrayDistance_-119 Mfield_2.055 1016.93 -0.00381032 0.0144774 -6.44521 4.96674 10.4397
ArrayDistance_-119 Mfield_2.055 2315.1 0.0258543 0.0421023 -7.17931 14.2503 10.8595
